File,Thresholding Method,Gini Coefficient,M20 Index,Filamentarity,Gini Std Dev,M20 Std Dev,Filamentarity Std Dev
GalaxyH1.fits,Isodata,0.311677727889256,-1.7472517922502442,0.5020137662957143,0.08015715500372228,0.05517427603805922,0.08762606242424925
GalaxyH1.fits,Li,0.34695055844250144,-1.8067666874225223,0.42587643590602553,0.08015715500372228,0.05517427603805922,0.08762606242424925
GalaxyH1.fits,Mean,0.5082293214586477,-1.9254119441764581,0.45196656988072903,0.08015715500372228,0.05517427603805922,0.08762606242424925
GalaxyH1.fits,Minimum,nan,nan,nan,0.08015715500372228,0.05517427603805922,0.08762606242424925
GalaxyH1.fits,Otsu,0.3104054639248991,-1.7488373708966,0.5392933299984327,0.08015715500372228,0.05517427603805922,0.08762606242424925
GalaxyH1.fits,Triangle,0.34650657739426677,-1.8108154365970164,0.42681480464180355,0.08015715500372228,0.05517427603805922,0.08762606242424925
GalaxyH1.fits,Yen,0.28398752560500834,-1.7607133851121162,0.2260135608085938,0.08015715500372228,0.05517427603805922,0.08762606242424925
GalaxyH1.fits,MultiOtsu,0.324286565300941,-1.8070696359948344,0.3946524882935045,0.08015715500372228,0.05517427603805922,0.08762606242424925
GalaxyH1.fits,SExtractor,0.4921877896107975,-1.8420525042766849,0.46075539972763324,0.08015715500372228,0.05517427603805922,0.08762606242424925
GalaxyH2.fits,Isodata,2.2432603119292556,-2.631264099996345,0.40173638228110664,0.5966393285509369,0.31458055881104596,0.2577757773948369
GalaxyH2.fits,Li,0.39142302376002847,-1.6836922207585918,0.1483928700313616,0.5966393285509369,0.31458055881104596,0.2577757773948369
GalaxyH2.fits,Mean,0.7878204925385923,-1.8752440840967208,0.7786967423497893,0.5966393285509369,0.31458055881104596,0.2577757773948369
GalaxyH2.fits,Minimum,0.12186566457547537,-1.4820675354905317,-0.14175467671675568,0.5966393285509369,0.31458055881104596,0.2577757773948369
GalaxyH2.fits,Otsu,0.25475079648379667,-1.7364994430594627,-0.01328247013999384,0.5966393285509369,0.31458055881104596,0.2577757773948369
GalaxyH2.fits,Triangle,0.5787277910416225,-1.963967240079885,0.23260159039208217,0.5966393285509369,0.31458055881104596,0.2577757773948369
GalaxyH2.fits,Yen,0.4005108186701917,-1.7017367510402803,0.13680006795505528,0.5966393285509369,0.31458055881104596,0.2577757773948369
GalaxyH2.fits,MultiOtsu,0.3725554442540493,-1.8396973223286357,0.0665188417394249,0.5966393285509369,0.31458055881104596,0.2577757773948369
GalaxyH2.fits,SExtractor,0.6629779125740768,-2.145446447715567,0.39861098244094983,0.5966393285509369,0.31458055881104596,0.2577757773948369
GalaxyH3.fits,Isodata,0.2577839176272591,-1.6745950726101306,0.642029229458903,0.1424717523510386,0.07915905365041045,0.04582200522762987
GalaxyH3.fits,Li,0.3113984713787711,-1.6996999892378113,0.6692400994481976,0.1424717523510386,0.07915905365041045,0.04582200522762987
GalaxyH3.fits,Mean,0.5900265915625255,-1.8586810277601253,0.6335545066310583,0.1424717523510386,0.07915905365041045,0.04582200522762987
GalaxyH3.fits,Minimum,nan,nan,nan,0.1424717523510386,0.07915905365041045,0.04582200522762987
GalaxyH3.fits,Otsu,0.2537885860643253,-1.6877033421841798,0.6355139468365947,0.1424717523510386,0.07915905365041045,0.04582200522762987
GalaxyH3.fits,Triangle,0.33179105534557335,-1.697240967584895,0.6181019687305561,0.1424717523510386,0.07915905365041045,0.04582200522762987
GalaxyH3.fits,Yen,0.17043446375549867,-1.6280530412583043,0.5333636294427809,0.1424717523510386,0.07915905365041045,0.04582200522762987
GalaxyH3.fits,MultiOtsu,0.5626060767464174,-1.851052436882916,0.6963326820051903,0.1424717523510386,0.07915905365041045,0.04582200522762987
GalaxyH3.fits,SExtractor,0.4487309981503292,-1.772193972005484,0.5949985331802734,0.1424717523510386,0.07915905365041045,0.04582200522762987
GalaxyH4.fits,Isodata,0.29365952700164777,-0.8877971038321132,0.4249609892985903,0.15142969172336881,0.17982533692939404,0.12459996105784744
GalaxyH4.fits,Li,0.3309599076058738,-0.9684184368684522,0.3668858483172639,0.15142969172336881,0.17982533692939404,0.12459996105784744
GalaxyH4.fits,Mean,0.5639163547834432,-1.236468431995801,0.5689808124493532,0.15142969172336881,0.17982533692939404,0.12459996105784744
GalaxyH4.fits,Minimum,0.08840217702977252,-1.3090211897193975,0.211809563417109,0.15142969172336881,0.17982533692939404,0.12459996105784744
GalaxyH4.fits,Otsu,0.27745706456545394,-0.879211497867609,0.5241038830315773,0.15142969172336881,0.17982533692939404,0.12459996105784744
GalaxyH4.fits,Triangle,0.32020938311041286,-0.9531832209969353,0.31988068645295764,0.15142969172336881,0.17982533692939404,0.12459996105784744
GalaxyH4.fits,Yen,0.15115765447002494,-1.382384249692157,0.3396298204585171,0.15142969172336881,0.17982533692939404,0.12459996105784744
GalaxyH4.fits,MultiOtsu,0.5538551559218944,-1.2224827261585183,0.5927761599439128,0.15142969172336881,0.17982533692939404,0.12459996105784744
GalaxyH4.fits,SExtractor,0.41414910279557327,-1.0635011851404872,0.5449524908922658,0.15142969172336881,0.17982533692939404,0.12459996105784744
GalaxyH6.fits,Isodata,1.6635420572648598,-0.2340881721287985,0.3648656133633289,0.4804453369406993,0.5908048292545452,0.177159324177554
GalaxyH6.fits,Li,0.18435013569653905,-1.4691597397068334,0.07019962338690644,0.4804453369406993,0.5908048292545452,0.177159324177554
GalaxyH6.fits,Mean,0.5725836878218971,-2.2083270000481283,0.46670923557213306,0.4804453369406993,0.5908048292545452,0.177159324177554
GalaxyH6.fits,Minimum,nan,nan,nan,0.4804453369406993,0.5908048292545452,0.177159324177554
GalaxyH6.fits,Otsu,nan,nan,nan,0.4804453369406993,0.5908048292545452,0.177159324177554
GalaxyH6.fits,Triangle,0.32640119535764733,-1.6822600408149164,0.6471822735535608,0.4804453369406993,0.5908048292545452,0.177159324177554
GalaxyH6.fits,Yen,0.22229261151993868,-1.628904797129296,0.30210069433814,0.4804453369406993,0.5908048292545452,0.177159324177554
GalaxyH6.fits,MultiOtsu,0.26708514546673284,-1.76489671637112,0.3719980855349677,0.4804453369406993,0.5908048292545452,0.177159324177554
GalaxyH6.fits,SExtractor,0.46410614738788303,-2.0024408328009398,0.5838053706708568,0.4804453369406993,0.5908048292545452,0.177159324177554
GalaxyH7.fits,Isodata,0.6334336418458676,-2.2291344033290845,0.58334388603667,0.14166236095574145,0.24388416497868995,0.13560927499947167
GalaxyH7.fits,Li,0.5510479261106223,-2.180414012035584,0.648896453145476,0.14166236095574145,0.24388416497868995,0.13560927499947167
GalaxyH7.fits,Mean,0.6609757874651394,-2.3237978979844676,0.7535697550717804,0.14166236095574145,0.24388416497868995,0.13560927499947167
GalaxyH7.fits,Minimum,nan,nan,nan,0.14166236095574145,0.24388416497868995,0.13560927499947167
GalaxyH7.fits,Otsu,0.26104839621285286,-1.6488709160232295,0.31644247605357667,0.14166236095574145,0.24388416497868995,0.13560927499947167
GalaxyH7.fits,Triangle,0.4248020700170042,-1.8753971173153448,0.5207186616828686,0.14166236095574145,0.24388416497868995,0.13560927499947167
GalaxyH7.fits,Yen,0.316383591376439,-1.686517697786186,0.35599581506750355,0.14166236095574145,0.24388416497868995,0.13560927499947167
GalaxyH7.fits,MultiOtsu,0.6334336418458676,-2.2291344033290845,0.58334388603667,0.14166236095574145,0.24388416497868995,0.13560927499947167
GalaxyH7.fits,SExtractor,0.49833966039313615,-1.9977808455940491,0.5819196181151105,0.14166236095574145,0.24388416497868995,0.13560927499947167
GalaxyH8.fits,Isodata,1.3844827650416558,-2.5478895538165665,0.3563739326337908,0.32904072060225914,0.3138401144234928,0.21404937174301525
